,filename,Percentile value of 90 %,Percentile value of 75 %
192,n04023962_20234,[0.7907118797302246],[0.6468725800514221]
193,n04023962_2028,[0.72315514087677],[0.5881931185722351]
194,n04023962_2032,[0.8852085471153259],[0.6689268350601196]
195,n04023962_20344,[0.7874675393104553],[0.6564590334892273]
196,n04023962_20421,[0.8292790651321411],[0.716280460357666]
197,n04023962_20497,[0.7551887631416321],[0.48635417222976685]
198,n04023962_20606,[0.6944841742515564],[0.6238510608673096]
199,n04023962_20755,[0.35592666268348694],[0.3107047379016876]
200,n04023962_20769,[0.8426330089569092],[0.5964393615722656]
201,n04023962_20782,[0.8836267590522766],[0.7763776183128357]
202,n04023962_20786,[1.0],[0.7779295444488525]
203,n04023962_20790,[0.8580864667892456],[0.690804123878479]
204,n04023962_20821,[0.9226952195167542],[0.7119154334068298]
205,n04023962_20853,[0.8066765069961548],[0.46524253487586975]
206,n04023962_20883,[0.7526875734329224],[0.5695290565490723]
207,n04023962_20938,[0.3643004596233368],[0.2881997227668762]
208,n04023962_20986,[0.390540212392807],[0.34367266297340393]
209,n04023962_21004,[0.5370708107948303],[0.4204448461532593]
210,n04023962_21015,[0.6448155641555786],[0.47365236282348633]
211,n04023962_2102,[0.8299450874328613],[0.6829016804695129]
212,n04023962_21025,[0.8654975891113281],[0.7308954000473022]
213,n04023962_2111,[0.7056648135185242],[0.4939667880535126]
214,n04023962_21125,[0.5976438522338867],[0.44929489493370056]
215,n04023962_21149,[0.7701260447502136],[0.5323219895362854]
216,n04023962_21212,[0.8625338673591614],[0.696032702922821]
217,n04023962_21240,[0.8070871829986572],[0.6864948868751526]
218,n04023962_21292,[0.5738224387168884],[0.44447189569473267]
219,n04023962_21358,[0.8973569869995117],[0.7760802507400513]
220,n04023962_21363,[0.7199280858039856],[0.4955514669418335]
221,n04023962_21365,[0.7312604188919067],[0.5838765501976013]
222,n04023962_21399,[0.8622008562088013],[0.7650696635246277]
223,n04023962_21405,[0.8620877265930176],[0.7432014346122742]
224,n04023962_21424,[0.7131270170211792],[0.5752832293510437]
225,n04023962_21453,[0.8777153491973877],[0.5544975399971008]
226,n04023962_2148,[0.740179181098938],[0.4492349624633789]
227,n04023962_21484,[0.7244558334350586],[0.6349799633026123]
228,n04023962_21583,[1.0],[0.8869742751121521]
229,n04023962_21636,[0.7480841279029846],[0.5627962350845337]
230,n04023962_2164,[0.8875046372413635],[0.6676838397979736]
231,n04023962_21754,[0.8680589199066162],[0.6676152944564819]
232,n04023962_21805,[0.7011041045188904],[0.4645004868507385]
233,n04023962_21891,[0.8331319093704224],[0.6716794967651367]
234,n04023962_21934,[0.9552263021469116],[0.7917713522911072]
235,n04023962_21993,[0.6454794406890869],[0.37712761759757996]
236,n04023962_2201,[0.6550930142402649],[0.3986157774925232]
237,n04023962_22027,[0.586887776851654],[0.4733242392539978]
238,n04023962_2212,[0.6855233907699585],[0.4211609661579132]
239,n04023962_2213,[0.7534491419792175],[0.5751649737358093]
240,n04023962_22138,[0.8897707462310791],[0.7369434833526611]
241,n04023962_22196,[0.8071367740631104],[0.6472437381744385]
242,n04023962_22220,[0.5416780114173889],[0.41523534059524536]
243,n04023962_22261,[0.8269296288490295],[0.7289234399795532]
244,n04023962_22287,[0.2653191089630127],[0.24019157886505127]
245,n04023962_22374,[0.6605539321899414],[0.4424833357334137]
246,n04023962_22404,[0.5399352312088013],[0.46352845430374146]
247,n04023962_22424,[0.7910022139549255],[0.6707509756088257]
248,n04023962_22495,[0.3075009286403656],[0.22165372967720032]
249,n04023962_22570,[0.6279198527336121],[0.5078242421150208]
250,n04023962_22621,[0.8775992393493652],[0.7361056208610535]
251,n04023962_22652,[0.7748189568519592],[0.5469772815704346]
252,n04023962_22682,[1.0],[0.8683831691741943]
253,n04023962_22712,[0.7747795581817627],[0.5890238285064697]
254,n04023962_22781,[0.8835477828979492],[0.8447598218917847]
255,n04023962_22884,[0.6735023260116577],[0.5051919221878052]
256,n04023962_22895,[0.750907301902771],[0.5503531694412231]
257,n04023962_2292,[0.6061098575592041],[0.47586482763290405]
258,n04023962_22931,[0.9177910089492798],[0.716368556022644]
259,n04023962_22964,[0.5774855613708496],[0.4190407395362854]
260,n04023962_2316,[0.336378812789917],[0.28070199489593506]
261,n04023962_2317,[0.9256289005279541],[0.7712405323982239]
262,n04023962_2333,[0.8359401822090149],[0.73994380235672]
263,n04023962_2356,[0.7134774923324585],[0.5165562629699707]
264,n04023962_2357,[0.8167096972465515],[0.7425060272216797]
265,n04023962_2366,[0.4677490293979645],[0.27272072434425354]
266,n04023962_2440,[0.8528269529342651],[0.6854844093322754]
267,n04023962_2503,[0.7469027638435364],[0.5305657982826233]
268,n04023962_2510,[0.7239941358566284],[0.5703170299530029]
269,n04023962_2519,[0.7321720719337463],[0.48865921050310135]
270,n04023962_2541,[0.607192873954773],[0.48257917165756226]
271,n04023962_2560,[0.5594156980514526],[0.3904128074645996]
272,n04023962_2568,[0.6294926106929779],[0.48992058634757996]
273,n04023962_2602,[0.9983577728271484],[0.8532967567443848]
274,n04023962_2610,[0.736979603767395],[0.5818767547607422]
275,n04023962_2622,[0.769984245300293],[0.5444836020469666]
276,n04023962_2639,[0.6227273941040039],[0.4935738444328308]
277,n04023962_267,[0.6448188424110413],[0.6105906367301941]
278,n04023962_2676,[0.7551305294036865],[0.5295031666755676]
279,n04023962_2698,[0.5746998190879822],[0.4778022766113281]
280,n04023962_27087,[0.9360135793685913],[0.8852291107177734]
281,n04023962_2714,[0.5265030860900879],[0.44084280729293823]
282,n04023962_2719,[0.7239415645599365],[0.5784382820129395]
283,n04023962_2746,[0.6799964308738708],[0.5583431124687195]
284,n04023962_2753,[0.8222776651382446],[0.6282825469970703]
285,n04023962_2800,[0.741544246673584],[0.5406244397163391]
286,n04023962_2853,[0.60114985704422],[0.5029029846191406]
287,n04023962_2869,[0.6402087807655334],[0.4858882427215576]
288,n04023962_29340,[0.7974041700363159],[0.5080785751342773]
289,n04023962_29803,[0.7688931226730347],[0.537636935710907]
290,n04023962_3006,[0.7841606140136719],[0.5462822318077087]
